Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
152,January - M011991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.5,28,NA,197
150,January - M011991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.2,10.4,NA,148
151,January - M011991,Andhra Pradesh,Hyderabad,NA,Industrial Area,28.7,16.2,NA,77
152,February - M021991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",18.7,42.2,NA,125
150,February - M021991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.5,18,NA,330
151,February - M021991,Andhra Pradesh,Hyderabad,NA,Industrial Area,20.4,12.6,NA,93
152,March - M031991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",5.2,41.3,NA,287
150,March - M031991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.5,12.2,NA,241
151,March - M031991,Andhra Pradesh,Hyderabad,NA,Industrial Area,4.8,8.4,NA,85
152,April - M041991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,48.5,NA,NA
150,April - M041991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.7,12.4,NA,283
151,April - M041991,Andhra Pradesh,Hyderabad,NA,Industrial Area,21.2,11.5,NA,108
150,May - M051991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",4.9,15.3,NA,234
151,May - M051991,Andhra Pradesh,Hyderabad,NA,Industrial Area,17.7,14,NA,121
152,May - M051991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.3,38.6,NA,219
150,June - M061991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",3.5,11.9,NA,179
151,June - M061991,Andhra Pradesh,Hyderabad,NA,Industrial Area,3.1,7.5,NA,84
152,June - M061991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",3,19,NA,154
150,July - M071991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.2,10,NA,150
151,July - M071991,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.9,9.2,NA,67
152,July - M071991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.5,17.3,NA,128
150,August - M081991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,12.5,NA,119
151,August - M081991,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.8,9.8,NA,71
152,August - M081991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.5,12.6,NA,98
150,September - M091991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.6,12.7,NA,172
151,September - M091991,Andhra Pradesh,Hyderabad,NA,Industrial Area,13.3,11.9,NA,56
152,September - M091991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,23.4,NA,120
150,October - M101991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,15.5,NA,135
151,October - M101991,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,12.2,NA,83
152,October - M101991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.2,25.7,NA,158
150,November - M111991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8,8.3,NA,163
151,November - M111991,Andhra Pradesh,Hyderabad,NA,Industrial Area,14.6,12.9,NA,103
152,November - M111991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",18.8,39,NA,232
150,December - M121991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.9,11.4,NA,149
151,December - M121991,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.2,18.4,NA,129
152,December - M121991,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,47,NA,242
